IMF Spot,Interpolation Method,Mean Frequency,Variance Frequency,Rows,Cols,Channels,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,File Name
IMF 10,Gaussian,9.755207824712018e-12,2.6208935836053264e-23,480,640,2,9.152020244216853e-12,8.669133809240844e-35,2.2681717183041262e-45,-5.2573686145270437e-17,3.9509168763309737e-28,0.0,-8.949484325305113e-44,6.836197065358906e-55,
IMF 1,Lanczos4,26337.841103583243,4423124796.435385,360,480,2,9676.618063733871,2546582368906278.0,2.5779426968099074e+21,-5.360015938672432,29582.41994229101,0.0726295016726492,-7631333.53861177,27855734114.37209,
IMF 2,Lanczos4,43248.58801070398,16073840663.87853,360,480,2,14903.71536331596,3.277579542058549e+16,1.5992444857149788e+23,46.135786623159476,101715.70810931822,0.614127014388463,69292183.4458456,211342404886.17465,
IMF 3,Lanczos4,25755.41955630031,5355369667.987935,360,480,2,9203.90713712681,5215201336696103.0,1.4477059564384874e+22,-30.298692063835908,33912.494493647886,-0.630566917337266,-20625437.68877926,25222297152.80753,
IMF 4,Lanczos4,27850.721176316783,7696593829.439786,360,480,2,10090.099680014731,2.031164281880072e+16,1.4104206202167696e+23,-51.78913203118575,46347.14795322915,-1.7829601000704236,-35535266.85603857,45944998339.17476,
IMF 5,Lanczos4,13179.775646227356,1995031914.2525907,360,480,2,4257.06509202727,1075975794236525.8,1.3839460690850084e+21,20.36953249898371,12135.651592170288,5.23727928973216,-1564019.5191222543,3719348857.991097,
IMF 6,Bicubic,8260.285841739014,3029929958.698941,360,480,2,2367.777216253315,2.213377476413807e+16,3.175392316501286e+23,88.42277730379067,10110.592320123691,72.04125943610839,585426.3385439853,387331637.253727,
IMF 7,Bicubic,3967.1143127758173,804662834.1114401,360,480,2,957.6684351062056,1021107957458470.6,3.4673200703118613e+21,28.037436613000782,3961.592137072837,0.0,518314.2266677582,123624578.67013983,
IMF 8,Bilinear,775.7270354356947,28558237.88023192,360,480,2,204.90608955735783,3341232123047.6104,4.738540630335667e+17,1.0820639392039066,167.5790815767161,0.0,30665.616520014653,6587568.621365006,
IMF 9,Gaussian,5.2332526884561175e-12,7.424163293518432e-24,360,480,2,4.9312579953758384e-12,1.2675886833964085e-35,1.7804390922530305e-46,-1.2839523682933524e-17,2.0145294275514783e-28,0.0,-4.1805274967522653e-44,3.2323646059458257e-55,
IMF 1,Lanczos4,8235.661323155135,55430427.15809491,720,960,2,5991.5191877830885,1131353182432.0244,6.832878995437088e+16,0.05298154221516628,178.31974010289792,-0.003807128296185888,1293.9714514748368,8734310.322253898,
IMF 2,Lanczos4,9289.021325357677,164734975.80276492,720,960,2,4085.0816452851564,7941238313818.35,9.615882814594316e+17,-0.3495342850052461,363.044626978216,-0.0050548136374189674,-52032.139818248936,36607338.075889796,
