File Name,Shape,No IMFs,Time,RMSE,PSNR,SSIM,Variation Of Information,Adapted Rand Error
image_07452.jpg,"(501, 667)",8,56.73184620000029,0.0,52.15398735971843,0.9994328675958103,[0.94714052 0.94686175],"(0.4705201835435934, 0.529343436880093, 0.5296162663242576)"
image_07451.jpg,"(500, 667)",9,81.39504140000008,0.0,52.0308458886577,0.9987234119331422,[0.96141095 0.95680152],"(0.4784332423963359, 0.5206845010226892, 0.5224520090800363)"
image_07450.jpg,"(666, 500)",9,75.39766699999927,0.0,51.80389046786655,0.9980107071331696,[0.97675795 0.97630862],"(0.4854548857259361, 0.514372353015218, 0.5147179916218877)"
image_07449.jpg,"(501, 753)",8,93.08896289999939,0.0,52.65420820318588,0.9981489194616362,[0.92113726 0.92116691],"(0.4534806465373228, 0.5466073207200532, 0.5464314145144471)"
image_07448.jpg,"(500, 546)",9,56.28170069999942,0.0,52.11462047239202,0.9980456517106844,[0.9583482 0.9574798],"(0.47721404966123426, 0.5227075307361189, 0.5228643934748668)"
image_07447.jpg,"(750, 500)",10,151.10816799999975,0.0,51.92563987454441,0.997407593461142,[0.97410696 0.97328308],"(0.4812760132981747, 0.518392859152628, 0.5190555375420983)"
image_07446.jpg,"(501, 654)",8,94.58656059999976,0.0,54.747854583420875,0.999102103769427,[0.56947458 0.57035732],"(0.374902305768992, 0.6235085676579507, 0.6266949418663713)"
image_07445.jpg,"(500, 751)",8,69.89904480000041,0.0,55.61323907095471,0.9990767470180196,[0.53695554 0.54013135],"(0.1142284266907796, 0.8871085762254697, 0.884438594447657)"
image_07444.jpg,"(500, 506)",8,63.18138410000029,0.0,52.241778542798784,0.998354827356751,[0.94130416 0.94190401],"(0.4743247121580676, 0.5256478439126269, 0.5257027346370676)"
image_07443.jpg,"(753, 501)",9,92.79224559999966,0.0,51.95223697173074,0.9975549462848672,[0.97015176 0.97012413],"(0.48550714984351706, 0.5141418658937366, 0.5148443139526624)"
