IMF Spot,Mean Frequency,Variance Frequency,Rows,Cols,Median Frequency,Skewness Frequency,Kurtosis Frequency,Mean Color,Variance Color,Median Color,Skewness Color,Kurtosis Color,Interpolation Method
IMF 4,6230.355875714948,282712402.52051383,500.0,700.0,1958.4482817724454,58106198904610.52,3.416215729953307e+19,0.3978341845376228,918.4981189860974,-0.023915479664605943,13459.446422696548,74901380.03634045,Bicubic
IMF 5,5805.211924637417,342626023.7865062,500.0,700.0,1734.1541636443467,58673457373188.66,1.946143736148222e+19,0.3307787820617133,1075.1091833300773,-0.006746245095673138,81868.88227979059,74410936.61350434,Bicubic
IMF 6,6542.496851071355,640614593.1866418,500.0,700.0,1973.717642131108,218415944231189.6,1.488940137641023e+20,4.1035626789818265,1935.7860825765827,0.5224390963079739,198767.56658760872,117586863.34198377,Bicubic
IMF 7,7423.993330040142,1713544552.964551,500.0,700.0,2083.204900498261,4350875945309240.0,3.668827324568781e+22,30.204509244316696,4141.002563964365,14.561389590090554,159712.85259136898,211986210.8318827,Bicubic
IMF 8,5260.045071955517,2278682759.9622955,500.0,700.0,1272.1721877678028,2.0598381672351296e+16,3.705114535935236e+23,54.168643598415095,3655.331862483023,41.86733259689571,97559.86068228334,42436570.945164144,Bicubic
IMF 9,1992.302684260683,392658053.541165,500.0,700.0,408.06942532412086,297920862559667.0,4.9133127678055376e+20,9.527666610501626,1042.4444933216384,0.0,118293.44087938394,16422922.562145572,Bicubic
IMF 10,7.200424520733705e-12,1.4106975833427632e-23,500.0,700.0,6.775020858703067e-12,3.296611522167586e-35,6.401867660034843e-46,-1.796911825684739e-17,1.884370745742485e-28,0.0,-6.475789830903121e-44,2.6631964882021793e-55,Gaussian
IMF 1,4282.4393108685135,54907830.53840586,485.0,728.0,1795.84636683879,2141988567329.5305,1.4004065378658947e+17,-0.030724046137746236,207.45095642292281,-0.005451530946655653,28494.69464333175,13066362.700108835,Bicubic
IMF 2,4382.285869973855,104185317.92936186,485.0,728.0,899.5469932017019,6280860616936.912,5.831746305853834e+17,0.08610847366116628,349.4594126093815,0.00884135597265853,24206.227979916832,49056907.43154584,Bicubic
IMF 3,4621.00368863913,180823513.5143685,485.0,728.0,1006.6731420198587,18484240202051.59,3.3314797967917174e+18,0.6155434005230662,572.2312473801469,0.028611392639088594,47655.114532936495,34387562.204073004,Bicubic
IMF 4,7643.643667728407,714250897.0590597,485.0,728.0,2175.015646147533,174342731338943.12,5.977457177850123e+19,-0.4254082073970952,2188.207454214462,-0.004672723916880561,44214.480260068776,563545941.0861382,Bicubic
IMF 5,9339.713413096877,1427678051.8506215,485.0,728.0,2712.64567242724,615385433009793.4,3.8233279999303673e+20,-0.34739241419242545,4290.431880222932,0.2631502467313049,-1946831.8789296031,3049095600.3928266,Bicubic
IMF 6,9369.280353883394,3886551160.4794006,485.0,728.0,2389.8720227870904,1.947351208227857e+16,2.8428922489988623e+23,50.0255920631241,8753.627333786193,19.282877331743396,483223.4120674874,352610751.94248575,Lanczos4
