File Name,Color Mode,Resolution,Mean Pixel Value,Median Pixel Value,Max Pixel Value,Min Pixel Value,Log Trace,Difference-Axis0,Difference-Axis1,Number of IMFs,RMSE
DATA/00264.jpg,Grey,"(375, 500)",101.44792,90.0,255,0,10.69249022,184,167,9,10.93703369
DATA/00265.jpg,Grey,"(266, 400)",119.4044173,131.0,255,0,10.40432344,198,196,8,8.63408168
DATA/00266.jpg,Grey,"(600, 800)",194.6169271,253.0,255,0,11.61094107,200,198,9,44.82051164
DATA/00267.jpg,Grey,"(425, 640)",112.3207463,122.0,255,0,10.72871507,226,191,9,11.12236409
DATA/00268.jpg,Grey,"(426, 640)",127.0955619,142.0,255,0,10.53895265,179,146,9,14.52607937
DATA/00269.jpg,Grey,"(480, 640)",144.842806,146.0,254,7,11.24549037,167,182,9,6.542944451
DATA/00270.jpg,Grey,"(224, 375)",136.57957140000002,144.0,255,0,10.31457019,214,225,8,27.94562713
DATA/00271.jpg,Grey,"(108, 144)",101.2269162,110.0,255,0,9.366745651,207,195,7,16.72728545
DATA/00272.jpg,Grey,"(331, 600)",126.8267271,113.0,255,0,10.5801496,187,189,8,13.28666177
DATA/00273.jpg,Grey,"(360, 480)",92.28710648,85.0,255,0,10.38015642,159,137,8,1.35e-14
DATA/00274.jpg,Grey,"(334, 500)",122.15385630000002,134.0,255,0,10.48768445,168,174,8,6.942955186
DATA/00275.jpg,Grey,"(375, 600)",78.61744889,84.0,255,0,10.36851005,171,162,9,12.05256318
DATA/00276.jpg,Grey,"(480, 640)",85.81942383,73.0,255,0,10.77155396,139,158,9,6.673688137999999
DATA/00277.jpg,Grey,"(768, 1024)",98.02721532,51.0,255,0,11.15252932,199,196,10,7.473211261
DATA/00278.jpg,Grey,"(194, 259)",120.5961271,130.0,255,0,10.09323977,246,244,8,20.32216706
DATA/00279.jpg,Grey,"(352, 576)",152.3506057,169.0,255,0,10.85778672,185,198,8,20.60250451
DATA/00280.jpg,Grey,"(189, 267)",105.9757644,104.0,255,0,9.687505794,255,232,7,17.67174833
DATA/00281.jpg,Grey,"(390, 587)",83.98452802,27.0,255,0,10.01966931,245,244,10,16.05129031
DATA/00282.jpg,Grey,"(360, 480)",102.5127778,77.0,255,0,10.58983668,163,129,8,6.949955701
DATA/00283.jpg,Grey,"(492, 786)",147.24838119999995,156.0,255,0,11.08260398,249,248,10,7.886120281
DATA/00284.jpg,Grey,"(768, 1024)",107.3951747,71.0,255,0,10.85007468,252,255,11,11.23561513
DATA/00285.jpg,Grey,"(305, 640)",107.3844416,107.0,255,0,10.46846039,221,244,8,11.18079026
DATA/00286.jpg,Grey,"(768, 1024)",104.3847593,99.0,255,0,11.11831127,181,190,11,9.513951452
DATA/00287.jpg,Grey,"(960, 1280)",146.60453859999996,125.0,255,3,11.83624733,130,120,11,16.03217587
DATA/00288.jpg,Grey,"(156, 300)",99.97429487,83.0,255,0,9.642057851,218,210,7,15.06139496
DATA/00289.jpg,Grey,"(533, 800)",139.35615380000002,112.0,255,0,11.34866384,168,184,10,20.47479876
DATA/00290.jpg,Grey,"(532, 800)",82.86599154,48.0,255,0,11.028758,233,202,10,6.805646359
DATA/00291.jpg,Grey,"(600, 600)",62.924925,50.0,255,0,10.50369674,246,241,9,4.69720325
DATA/00292.jpg,Grey,"(300, 960)",86.34636111,82.0,255,0,10.06386168,234,247,8,6.4497368470000005
DATA/00293.jpg,Grey,"(441, 1000)",100.4021633,84.0,253,0,10.82719074,169,160,9,6.302597522
